m84045_240518_224402_s3/22352177/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.58),c:Agaricomycetes(0.42),o:Agaricales(0.22),f:Agaricaceae(0.05),g:Agaricaceae_gen_Incertae_sedis(0.03),s:Agaricaceae_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/111415430/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.63),c:Agaricomycetes(0.51),o:Sebacinales(0.32),f:Sebacinales_fam_Incertae_sedis(0.14),g:Sebacinales_gen_Incertae_sedis(0.14),s:Sebacinales_sp(0.14)	+	k:Fungi
m84045_240518_224402_s3/239010741/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.38),c:Agaricomycetes(0.31),o:Agaricales(0.19),f:Mycenaceae(0.05),g:Mycena(0.03),s:Mycena_flavoalba(0.02)	+	k:Fungi
m84045_240518_224402_s3/222957927/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.42),c:Agaricomycetes(0.36),o:Agaricales(0.12),f:Mycenaceae(0.03),g:Mycena(0.02),s:Mycena_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/240259309/ccs;size=2	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.98),c:Fungi_cls_Incertae_sedis(0.98),o:Fungi_ord_Incertae_sedis(0.98),f:Fungi_fam_Incertae_sedis(0.98),g:Fungi_gen_Incertae_sedis(0.98),s:Fungi_sp(0.98)	+	k:Fungi,p:Fungi_phy_Incertae_sedis,c:Fungi_cls_Incertae_sedis,o:Fungi_ord_Incertae_sedis,f:Fungi_fam_Incertae_sedis,g:Fungi_gen_Incertae_sedis,s:Fungi_sp
m84045_240518_224402_s3/163317060/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.39),c:Agaricomycetes(0.31),o:Agaricales(0.12),f:Agaricaceae(0.04),g:Lepiota(0.01),s:Lepiota_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/236719303/ccs;size=2	k:Fungi(1.00),p:Ascomycota(0.38),c:Eurotiomycetes(0.10),o:Chaetothyriales(0.04),f:Herpotrichiellaceae(0.04),g:Exophiala(0.02),s:Exophiala_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/169020658/ccs;size=4	k:Fungi(1.00),p:Basidiomycota(0.44),c:Agaricomycetes(0.36),o:Agaricales(0.21),f:Agaricaceae(0.06),g:Agaricus(0.03),s:Agaricus_midnapurensis(0.01)	+	k:Fungi
m84045_240518_224402_s3/114885517/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.46),c:Agaricomycetes(0.40),o:Agaricales(0.11),f:Pluteaceae(0.02),g:Pluteus(0.01),s:Pluteus_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/96010672/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.37),c:Agaricomycetes(0.19),o:Agaricales(0.06),f:Mycenaceae(0.02),g:Mycena(0.02),s:Mycena_sp(0.02)	+	k:Fungi
m84045_240518_224402_s3/52364233/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.44),c:Agaricomycetes(0.40),o:Agaricales(0.10),f:Agaricaceae(0.04),g:Cystolepiota(0.01),s:Cystolepiota_cystophora(0.01)	+	k:Fungi
m84045_240518_224402_s3/96931111/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.24),c:Agaricomycetes(0.18),o:Agaricales(0.10),f:Inocybaceae(0.02),g:Inocybe(0.02),s:Inocybe_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/65734258/ccs;size=1	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:Piptocephalis(1.00),s:Piptocephalis_sp(1.00)	+	k:Fungi,p:Zoopagomycota,c:Zoopagomycetes,o:Zoopagales,f:Piptocephalidaceae,g:Piptocephalis,s:Piptocephalis_sp
m84045_240518_224402_s3/132254409/ccs;size=1	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.26),c:Fungi_cls_Incertae_sedis(0.26),o:Fungi_ord_Incertae_sedis(0.26),f:Fungi_fam_Incertae_sedis(0.26),g:Fungi_gen_Incertae_sedis(0.26),s:Fungi_sp(0.26)	+	k:Fungi
m84045_240518_224402_s3/13307145/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.67),c:Agaricomycetes(0.62),o:Agaricales(0.37),f:Inocybaceae(0.25),g:Inocybe(0.25),s:Inocybe_baltica(0.10)	+	k:Fungi
m84045_240518_224402_s3/155715530/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.44),c:Agaricomycetes(0.34),o:Agaricales(0.18),f:Inocybaceae(0.06),g:Inocybe(0.05),s:Inocybe_baltica(0.02)	+	k:Fungi
m84045_240518_224402_s3/179438996/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.38),c:Agaricomycetes(0.29),o:Agaricales(0.13),f:Clavariaceae(0.02),g:Clavariaceae_gen_Incertae_sedis(0.01),s:Clavariaceae_sp(0.01)	+	k:Fungi
m84045_240518_224402_s3/59640777/ccs;size=2	k:Fungi(1.00),p:Basidiomycota(0.36),c:Agaricomycetes(0.32),o:Agaricales(0.15),f:Psathyrellaceae(0.03),g:Psathyrella(0.02),s:Psathyrella_truncatisporoides(0.01)	+	k:Fungi
m84045_240518_224402_s3/120654002/ccs;size=3	k:Fungi(1.00),p:Basidiomycota(0.53),c:Agaricomycetes(0.49),o:Agaricales(0.25),f:Inocybaceae(0.07),g:Inocybe(0.07),s:Inocybe_sp(0.04)	+	k:Fungi
m84045_240518_224402_s3/233771252/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.54),c:Agaricomycetes(0.49),o:Agaricales(0.29),f:Entolomataceae(0.09),g:Entoloma(0.07),s:Entoloma_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/52890273/ccs;size=1	k:Fungi(1.00),p:Ascomycota(0.40),c:Eurotiomycetes(0.12),o:Eurotiales(0.11),f:Aspergillaceae(0.10),g:Aspergillus(0.06),s:Aspergillus_flavus(0.03)	+	k:Fungi
m84045_240518_224402_s3/234033929/ccs;size=4	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.41),c:Fungi_cls_Incertae_sedis(0.41),o:Fungi_ord_Incertae_sedis(0.41),f:Fungi_fam_Incertae_sedis(0.41),g:Fungi_gen_Incertae_sedis(0.41),s:Fungi_sp(0.41)	+	k:Fungi
m84045_240518_224402_s3/96010750/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.31),c:Agaricomycetes(0.28),o:Agaricales(0.10),f:Physalacriaceae(0.03),g:Hymenopellis(0.01),s:Hymenopellis_rubrobrunnescens(0.01)	+	k:Fungi
m84045_240518_224402_s3/7340806/ccs;size=7	k:Fungi(1.00),p:Fungi_phy_Incertae_sedis(0.49),c:Fungi_cls_Incertae_sedis(0.49),o:Fungi_ord_Incertae_sedis(0.49),f:Fungi_fam_Incertae_sedis(0.49),g:Fungi_gen_Incertae_sedis(0.49),s:Fungi_sp(0.49)	+	k:Fungi
m84045_240518_224402_s3/159843556/ccs;size=11	k:Fungi(1.00),p:Basidiomycota(0.35),c:Agaricomycetes(0.32),o:Agaricales(0.18),f:Agaricaceae(0.07),g:Agaricaceae_gen_Incertae_sedis(0.03),s:Agaricaceae_sp(0.03)	+	k:Fungi
m84045_240518_224402_s3/55447836/ccs;size=1	k:Fungi(1.00),p:Basidiomycota(0.43),c:Agaricomycetes(0.32),o:Agaricales(0.11),f:Agaricaceae(0.04),g:Agaricaceae_gen_Incertae_sedis(0.02),s:Agaricaceae_sp(0.02)	+	k:Fungi
