SH,Old_Entries,New_Entries,Conflict_Type
SH1371011.10FU,"Bispora_antennata, Bisporella_pallescens, Bispora_sp","Bispora_antennata, Bispora_pallescens, Bispora_sp",Different genera in SH
SH1359229.10FU,"Lanzia_huangshanica, Dicephalospora_huangshanica",Dicephalospora_huangshanica,Different genera in SH
SH1214439.10FU,"Endocronartium_harknessii, Cronartium_quercuum","Cronartium_harknessii, Cronartium_quercuum",Different genera in SH
SH1331637.10FU,"Pholiota_rugosa, Conocybe_sp","Conocybe_rugosa, Conocybe_sp",Different genera in SH
SH1275227.10FU,"Stachybotrys_oenanthes, Memnoniella_oenanthes, Memnoniella_sp","Memnoniella_oenanthes, Memnoniella_sp",Different genera in SH
SH1371093.10FU,"Crocicreas_cyathoideum, Cyathicula_sp","Cyathicula_cyathoidea, Cyathicula_sp",Different genera in SH
SH1398616.10FU,"Parmelia_lindmanii, Parmelinella_lindmanii",Parmelinella_lindmanii,Different genera in SH
SH1088951.10FU,"Trametes_ljubarskyi, Pilatotrama_ljubarskyi",Pilatotrama_ljubarskyi,Different genera in SH
SH1214451.10FU,"Caeoma_rhododendri-capitati, Chrysomyxa_sp","Chrysomyxa_rhododendri-capitati, Chrysomyxa_sp",Different genera in SH
SH1344831.10FU,"Neocosmospora_hengyangensis, Fusarium_sp","Fusarium_hengyangense, Fusarium_sp",Different genera in SH
SH1208020.10FU,"Pseudotremella_moriformis, Tremella_indecorata","Tremella_moriformis, Tremella_indecorata",Different genera in SH
SH1403526.10FU,"Dermocybe_vinicolor, Cortinarius_vinicolor",Cortinarius_vinicolor,Different genera in SH
SH1285233.10FU,"Tomentella_sp, Thelephora_subclavigera","Tomentella_sp, Tomentella_subclavigera",Different genera in SH
