file,reads
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/All_II.hifi_reads.fastq.gz,25244
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/All_IV.hifi_reads.fastq.gz,28942
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/All_soil_1.hifi_reads.fastq.gz,63039
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/All_soil_2.hifi_reads.fastq.gz,67170
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/All_wood.hifi_reads.fastq.gz,32319
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G10_II.hifi_reads.fastq.gz,8737
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G11_II.hifi_reads.fastq.gz,8332
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G12_II.hifi_reads.fastq.gz,8867
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G13_II.hifi_reads.fastq.gz,9631
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G13_IV.hifi_reads.fastq.gz,10293
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G16_II.hifi_reads.fastq.gz,6136
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G16_IV.hifi_reads.fastq.gz,7563
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G1_II.hifi_reads.fastq.gz,22145
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G1_IV.hifi_reads.fastq.gz,26843
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G2_II.hifi_reads.fastq.gz,14664
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G2_IV.hifi_reads.fastq.gz,22626
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G3_II.hifi_reads.fastq.gz,20449
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G3_IV.hifi_reads.fastq.gz,13204
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G4_IV.hifi_reads.fastq.gz,11048
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G5_II.hifi_reads.fastq.gz,25715
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G5_IV.hifi_reads.fastq.gz,27541
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G6_II.hifi_reads.fastq.gz,16739
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G6_IV.hifi_reads.fastq.gz,16124
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G7_II.hifi_reads.fastq.gz,19420
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G8_IV.hifi_reads.fastq.gz,20267
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G9_II.hifi_reads.fastq.gz,15955
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/G9_IV.hifi_reads.fastq.gz,17487
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_2.hifi_reads.fastq.gz,68619
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_3.hifi_reads.fastq.gz,89471
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_4.hifi_reads.fastq.gz,100356
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_L.hifi_reads.fastq.gz,109305
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_M1.hifi_reads.fastq.gz,88764
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_M2.hifi_reads.fastq.gz,180743
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1C_O.hifi_reads.fastq.gz,128480
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N1E_2.hifi_reads.fastq.gz,35799
