Abrothallales	32
Acarosporales	405
Acrospermales	28
Agaricales	24724
Agaricomycetes_ord_Incertae_sedis	1648
Agaricomycotina_ord_Incertae_sedis	1
Agaricostilbales	169
Agaricostilbomycetes_ord_Incertae_sedis	25
Amphisphaeriales	857
Amplistromatales	5
Amylocorticiales	217
Annulatascales	84
Aphelidiales	5
Aphelidiomycetes_ord_Incertae_sedis	1
Aphelidiomycota_ord_Incertae_sedis	34
Arachnomycetales	26
Archaeorhizomycetales	432
Archaeorhizomycetes_ord_Incertae_sedis	58
Archaeosporales	191
Archaeosporomycetes_ord_Incertae_sedis	8
Arthoniales	220
Arthoniomycetes_ord_Incertae_sedis	2
Ascomycota_ord_Incertae_sedis	5514
Ascosphaerales	37
Asterinales	39
Atheliales	478
Atractiellales	109
Atractiellomycetes_ord_Incertae_sedis	1
Atractosporales	148
Aulographales	5
Aureoconidiellales	1
Auriculariales	1019
Baeomycetales	231
Barbatosporales	1
Basidiobolales	60
Basidiobolomycetes_ord_Incertae_sedis	4
Basidiobolomycota_ord_Incertae_sedis	10
Basidiomycota_ord_Incertae_sedis	1328
Blastocladiales	79
Blastocladiomycetes_ord_Incertae_sedis	1
Blastocladiomycota_ord_Incertae_sedis	89
Boletales	2437
Boliniales	50
Botryosphaeriales	750
Branch01	24
Branch02	10
Branch03	20
Branch04	1
Branch06	136
Branch07	22
Buckleyzymales	16
Calcarisporiellales	17
Caliciales	645
Calosphaeriales	42
Cancellidiales	8
Candelariales	120
Cantharellales	3697
Capnodiales	593
Catabotryales	1
Catenomycetales	1
Catinellales	4
Cephalothecales	118
Ceraceosorales	8
Chaetomellales	30
Chaetosphaeriales	550
Chaetothyriales	4472
Chaetothyriomycetidae_ord_Incertae_sedis	3
Chionasterales	1
Chytridiales	241
Chytridiomycetes_ord_Incertae_sedis	22
Chytridiomycota_ord_Incertae_sedis	955
Cintractiellales	1
Cladochytriales	51
Cladoriellales	8
Cladosporiales	183
Classiculales	2
Collemopsidiales	1
Comminutisporales	1
Coniochaetales	340
Coniocybales	61
Conioscyphales	42
Coniosporiales	45
Coronophorales	30
Corticiales	296
Coryneliales	37
Cyphobasidiales	18
Cystobasidiales	111
Cystobasidiomycetes_ord_Incertae_sedis	98
Cystofilobasidiales	106
Dacrymycetales	185
Dacrymycetes_ord_Incertae_sedis	15
Delonicicolales	4
Diaporthales	1649
Diaporthomycetidae_ord_Incertae_sedis	98
Dimargaritales	2
Distoseptisporales	65
Diversisporales	418
Doassansiales	9
Dothideales	209
Dothideomycetes_ord_Incertae_sedis	1037
Dothideomycetidae_ord_Incertae_sedis	2
Endogonales	56
Endogonomycetes_ord_Incertae_sedis	194
Entomophthorales	37
Entomophthoromycota_ord_Incertae_sedis	2
Entorrhizales	48
Entorrhizomycetes_ord_Incertae_sedis	3
Entorrhizomycota_ord_Incertae_sedis	21
Entrophosporales	107
Entylomatales	39
Eremithallales	1
Erysiphales	1
Erythrobasidiales	59
Eurotiales	3324
Eurotiomycetes_ord_Incertae_sedis	198
Eurotiomycetidae_ord_Incertae_sedis	8
Exobasidiales	114
Exobasidiomycetes_ord_Incertae_sedis	5
Falcocladiales	7
Filobasidiales	212
Fungi_ord_Incertae_sedis	8537
Fuscosporellales	28
Geastrales	770
Geminibasidiales	63
Geoglossales	447
Geoglossomycetes_ord_Incertae_sedis	4
Georgefischeriales	18
Gigasporales	199
Gloeophyllales	45
Glomerales	2594
Glomerellales	926
Glomeromycetes_ord_Incertae_sedis	35
Glomeromycota_ord_Incertae_sedis	389
Gloniales	62
Golubeviales	4
Gomphales	732
Graphidales	145
Gromochytriales	1
GS01_ord_Incertae_sedis	2
GS01_phy_Incertae_sedis_ord_Incertae_sedis	324
GS02	4
GS03	15
GS04	19
GS05	120
GS06	15
GS07	20
GS08	61
GS09	64
GS10	93
GS11	396
GS12	8
GS13_ord_Incertae_sedis	5
GS14_ord_Incertae_sedis	17
GS15	31
GS16	17
GS17_ord_Incertae_sedis	6
GS18_ord_Incertae_sedis	26
GS19_ord_Incertae_sedis	10
GS21	30
GS22	42
GS23	328
GS24	6
GS25_ord_Incertae_sedis	7
GS26_ord_Incertae_sedis	9
GS27_ord_Incertae_sedis	28
GS28	23
GS29	6
GS31	32
GS32	17
GS33	43
GS34	2
GS35_ord_Incertae_sedis	5
GS36	57
GS37_ord_Incertae_sedis	3
Gyalectales	79
Harpellales	7
Heitmaniales	5
Helicobasidiales	11
Helotiales	6817
Herpomycetales	9
Heterogastridiales	4
Holtermanniales	4
Homortomycetales	3
Hyaloraphidiales	5
Hymenochaetales	1660
Hypocreales	6447
Hypocreomycetidae_ord_Incertae_sedis	14
Hysterangiales	228
Hysteriales	82
Jaapiales	4
Jahnulales	51
Jobellisiales	7
Kickxellales	52
Kickxellomycetes_ord_Incertae_sedis	1
Kickxellomycota_ord_Incertae_sedis	202
Kirschsteiniotheliales	49
Kriegeriales	55
Laboulbeniales	30
Laboulbeniomycetes_ord_Incertae_sedis	4
Lauriomycetales	15
Lecanorales	3491
Lecanoromycetes_ord_Incertae_sedis	170
Lecanoromycetidae_ord_Incertae_sedis	1
Lecideales	237
Lembosinales	1
Leotiales	917
Leotiomycetes_ord_Incertae_sedis	478
Lepidostromatales	18
Leprocaulales	22
Leucosporidiales	59
Lichenostigmatales	39
Lichenotheliales	1
Lichinales	103
Lobulomycetales	176
Lobulomycetes_ord_Incertae_sedis	2
Lulworthiales	93
Magnaporthales	373
Malasseziales	85
Marthamycetales	18
Medeolariales	1
Melanosporales	1
Meliolales	31
Mesochytriales	3
Micraspidales	1
Microascales	641
Microbotryales	96
Microbotryomycetes_ord_Incertae_sedis	271
Microsporidea_ord_Incertae_sedis	1
Microstromatales	42
Microthyriales	65
Minutisphaerales	38
Mixiales	1
Moniliellales	21
Monoblastiales	18
Monoblepharidales	59
Monoblepharidomycetes_ord_Incertae_sedis	7
Monoblepharomycota_ord_Incertae_sedis	21
Mortierellales	1076
Mortierellomycetes_ord_Incertae_sedis	10
Mortierellomycota_ord_Incertae_sedis	39
Mucorales	1116
Mucoromycetes_ord_Incertae_sedis	14
Mucoromycota_ord_Incertae_sedis	50
Mucoromycotina_ord_Incertae_sedis	21
Muyocopronales	147
Mycocaliciales	82
Mycosphaerellales	1611
Myriangiales	139
Myrmecridiales	76
Mytilinidiales	85
Naohideales	3
Natipusillales	1
Neocallimastigales	129
Neocallimastigomycetes_ord_Incertae_sedis	4
Neocallimastigomycota_ord_Incertae_sedis	5
Neodactylariales	4
Neolectales	3
Neophaeothecales	3
Nephridiophagales	1
Novakomycetales	1
Odontotrematales	2
Olpidiales	21
Olpidiomycota_ord_Incertae_sedis	24
Onygenales	1167
Ophiostomatales	386
Orbiliales	1548
Orbiliomycetes_ord_Incertae_sedis	14
Ostropales	188
Ostropomycetidae_ord_Incertae_sedis	11
Pachnocybales	13
Paraglomerales	208
Paraglomeromycetes_ord_Incertae_sedis	3
Pararamichloridiales	4
Parasympodiellales	19
Parmulariales	3
Patellariales	49
Peltigerales	1073
Peribolosporales	1
Pertusariales	423
Pezizales	4160
Pezizomycetes_ord_Incertae_sedis	21
Pezizomycotina_ord_Incertae_sedis	901
Phacidiales	37
Phaeomoniellales	120
Phaeothecales	10
Phaeotrichales	7
Phallales	191
Phomatosporales	45
Phyllachorales	161
Physodermatales	15
Pisorisporiales	35
Platygloeales	49
Pleosporales	6589
Pleurotheciales	127
Pneumocystales	18
Polychytriales	4
Polyporales	3029
Pseudodactylariales	34
Pucciniales	707
Pucciniomycetes_ord_Incertae_sedis	3
Pyrenulales	81
Pyxidiophorales	34
Quasiramulariales	2
Ramicandelaberales	88
Rhizocarpales	157
Rhizophlyctidales	443
Rhizophydiales	696
Rhizophydiomycetes_ord_Incertae_sedis	6
Rhytismatales	358
Robbauerales	3
Rosettozymales	4
Rozellomycetes_ord_Incertae_sedis	1
Rozellomycota_ord_Incertae_sedis	2971
Russulales	4888
Saccharomycetales	3251
Saccharomycetes_ord_Incertae_sedis	19
Sakaguchiales	31
Sanchytriales	38
Sanchytriomycetes_ord_Incertae_sedis	1
Sareales	38
Sarrameanales	10
